"Barcode","name","nt_rpm","Bacteriodes","Citrobacter","Escherichia","Enterobacter","Klebsiella","Haemophilus","Lactobacillus","Morganella","Prevotella","Proteus","Pseudomonas","Serratia","Staphylococcus","Streptococcus","Anelloviridae","HepatitisB","HSV1","HSV2","VZV","HHV4","HHV5","HHV6","HHV8","Bocavirus","Polyomavirus"
"EARLI_10456","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10740","",0,0,0,0,0,58.54996735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10741","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10755","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10819","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10820","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10825","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399701085,0,0,0,0,0
"EARLI_10929","",0,0,0,0,0,341.9722116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10957","",0,0,0,0,0,406.9957746,0,0,0,0,0,0,0,0,0,0.159808122,0,0,0,0,0,0.319616245,0,0,0,0
"EARLI_10958","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10971","Bacteroides fragilis",128.4787681,128.4787681,0,89.3486135,0,90.35469516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10991","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_10993","",0,1.35501849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11038","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11052","",0,0,0,0,0,0,0,188.7993852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11062","",0,0,0.887786397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11097","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11139","Staphylococcus aureus",0.574733441,0,0,0,0,0,0,0,0,0,0,0,0,0.574733441,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_11168","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
