"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name","Pathogen"
"ENSG00000242371",0.436967400829421,-2.10977029457835,13.3988341972207,1.20333913648379e-37,2.62195564448453e-33,74.4295781923495,"IGKV1-39","EBV"
"ENSG00000124721",0.311722614976211,-1.02262473864579,12.7069290462457,2.68361911645435e-34,2.92366884642119e-30,66.9527025141368,"DNAH8","EBV"
"ENSG00000211660",0.444313513946477,-0.82247222603959,12.5979580742744,8.81288446761187e-34,6.4007979888265e-30,65.8202664786382,"IGLV2-23","EBV"
"ENSG00000123095",0.28858305657481,-0.00820658159007349,12.4671247574916,3.63580149112195e-33,1.67681465596686e-29,64.4447733221953,"BHLHE41","EBV"
"ENSG00000241351",0.430502249156942,0.594069656201036,12.4618882685677,3.84784674828321e-33,1.67681465596686e-29,64.4118947474035,"IGKV3-11","EBV"
"ENSG00000239264",0.312551273728467,0.13154777413634,12.420259248045,6.02651399952178e-33,1.83281833013007e-29,63.9552777546294,"TXNDC5","EBV"
"ENSG00000211651",0.447153598692059,0.524219566540522,12.4100117488565,6.72933436185258e-33,1.83281833013007e-29,63.8614619727192,"IGLV1-44","EBV"
"ENSG00000211933",0.445326549570633,-0.514714617810641,12.4314266932406,5.34369076053169e-33,1.83281833013007e-29,64.0652584613619,"IGHV6-1","EBV"
"ENSG00000180535",0.29503217520395,0.662835585981985,12.3969041073901,7.74781695338125e-33,1.8757464844136e-29,63.7185701756015,"BHLHA15","EBV"
"ENSG00000251546",0.412125769651744,-1.6413499076726,12.3644960187249,1.09735009803667e-32,2.3910161286121e-29,63.2781260797234,"IGKV1D-39","EBV"
"ENSG00000081052",0.231325749732574,0.914582870604379,12.3448108415372,1.35455150008608e-32,2.6831202395796e-29,63.1681333701837,"COL4A4","EBV"
"ENSG00000110777",0.335043017779246,3.04978488640219,12.2240263802371,4.92370488614344e-32,8.2525081357061e-29,61.8786007201335,"POU2AF1","EBV"
"ENSG00000170476",0.389906130335044,2.31046626398132,12.2307402782408,4.58509886492329e-32,8.2525081357061e-29,61.9576098680543,"MZB1","EBV"
"ENSG00000211677",0.449747662821567,3.86808440140596,12.2085382549267,5.81258180557544e-32,9.04645321154881e-29,61.7053904494017,"IGLC2","EBV"
